response;sexe;age;profession
"Il y a de l offre et de la demande.. Quoi qu il en coûte les gens se procureront leurs drogues et devront en plus se cacher, payer des amandes, répondre à la justice.. Quand on pense que le cannabis est considéré comme une drogue dure par certains et qu on donne de la methadone à des heroinomanes, il faut se rendre à l évidence, en France on se fais de l argent sur le dos des drogués,on cherche pas à les guerir. et on a aucune notion de la dangerosité des produits.. L alcool en vente libre et le cannabis interdit.. Vieille France cultuel et conservatrice. Prenez exemple sur les pays Bas et leurs avancés sociales considèrables depuis 30 ans.
Les drogues qui rendent le plus accro et qui enegnedre une forte dépendance physique , sont l alcool, le tabac et l héroïne.. Mais bon on le sait depuis longtemps alors pourquoi poser les 2 questions d après ??";Un homme;30 à 39 ans;Autres personnes sans activité professionnelle
"Même si je ne suis plus au courant, je serais étonné qu'il ne me suffise pas d'aller dans un cité à Paris, aller parler à des jeunes sur un banc, et qu'ils me mettent alors en contact avec un dealer.
De ce que je connais des trafiquants dans ma jeunesse, les méthodes très au points alors n'ont sans doute même pas eu besoin d'évoluer pour gérer toute la chaine. Pire, avec les nouvelles méthodes de culture, l'accès libre dans des pays proches, les nouvelles espèces.... la production et donc le trafic sont à mon avis encore plus simple, d'autant qu'il y aura toujours des jeunes ou moins jeunes, en difficultés financières, en situation familiale difficiles, prêtes à prendre le risque de rejoindre l'organisation du trafic, et je les comprend.
J'ai suffisamment connu cela, y participant durant des années, et même une fois salarié, à mon petit niveau, dans un souci de moindre coûts et d'aider des amis à se fournir.";Un homme;40 à 49 ans;Cadres et professions intellectuelles supérieures
Prenons le cliché du jeune de cité qui veut se lancer dans le deal. Posons nous une question simple: pourquoi préfères-t-il se lancer dans cette voie plutôt que de suivre un cursus légal ? (Évidemment on exclu le petit pourcentage où le jeune est foncièrement mauvais) Parce qu'il n'a pas reçu assez d'amour. L'instruction, l'éducation, l'habileté dans un domaine quelconque se différencient du talent inné puisqu'ils doivent-être transmis d'une personne qualifiée à une personne en position d'élève. Cette transmission ne peut se faire sans amour. Logiquement plus un enfant reçoit d'amour (de manière bienveillante bien-sûr) plus il est capable de s'adapter à n'importe quelle situation (études, voie martiale, voie artisanale, etc) et peut choisir quelle vie il veut car il aura vu dans sa vie autre chose que son quartier et son téléphone. Bon désolé je suis parti loin mais en gros l'état ne se pose pas les bonnes questions, à croire qu'il ne veut pas vraiment trouver de solution.;Un homme;18 à 29 ans;Autres personnes sans activité professionnelle
"La colossale manne financière générée par ce trafic trouvera toujours des pourvoyeurs prêts à risquer leur vie, ou le meurtre de la concurrence, pour accéder à la fortune. Cette ""lutte"" de l'état est d'autant plus hypocrite qu'elle ne s'effectue qu'au niveau de la revente...   jamais au niveau des sources avec les moyens de pression qu'il est possible d'effectuer sur des partenaires commerciaux tels que le Maroc. Privé de cet manne financière, beaucoup de cultivateurs marocains se retrouveraient dans la misère. Je trouve totalement aberrant que l'état se prive d'une ressource financière (taxes)  sur un négoce qui pourrait être confié aux débits de tabac existants, et l'approvisionnement surveillé car officiel. Si le gouvernement est assez intelligent pour ne pas abuser des dites taxes, le commerce clandestin perdrait beaucoup de son attrait en raison des risques judiciaires inchangés au prorata des gains escomptés. En raison des énormes stocks d'armes constitués par les gangs, il serait d'ailleurs très judicieux d'agir au plus tôt.";Un homme;65 à 74 ans;Retraités
Je trouve seulement que les lois sont appliquées avec dureté helas sur les petits consommateurs et petits dealers. Et cela gâchent la vie de tellement de jeunes qui n'avaient déjà pas beaucoup d'espoir en la nation qu'ils se sentaient abandonnés, excluent. La vie peut être déjà difficile et certain s'évade à travers cela sans vouloir être dans l'inégalité. Alors qu'ils se retrouvent avec un casier judiciaires, du sursis c'est les jeter directement en prison. Ils sont limités et  si jamais il se retrouve dans une situation cela les conduira devant la justice. C'est gâcher le potentiel de vie de toutes ces personnes qui ne voulaient de mal à personne. Dé pénaliser s'il vous plaît, libérer ces gens qui n'ont pas leurs place dans les tribunaux ! Légaliser permettrait de faire stopper les traffics provenant de pays étrangers comme le Maroc. C'est une plante qui devrait avoir le droit de pousser dans les jardins !! Le tabac est beaucoup plus cancérigène..;Une femme;18 à 29 ans;Artisans, commerçants et chefs d'entreprises
"La lutte contre le trafic est un échec évident. Cela tient au fait que les moyens mis en oeuvre apparaissent comme ridicules face à l'ampleur de ce marché et ne sont pas adaptés. Le trafic, bien qu'illégal, doit aussi être compris comme une possibilité de faire face à la misère d'une partie de la population de ce pays. Ce sont davantage de mesures sociales (aides, accès à l'emploi etc.) qui semblent en capacité de rediriger les individus qui s'investissent dans le marché noir vers une meilleure intégration dans la société. Sans prise en compte de cet élément phare, comment ne pas imaginer que la légalisation poussera ces exclus de la République à continuer leurs ""affaires"" à partir de substances encore plus nocives pour la santé de l'être humain, pour l'environnement (exemple : cocaïne en Colombie) et favorisant davantage encore, car plus rentables, les groupes mafieux aujourd'hui liés à des groupes terroristes (Talibans pour l'héroïne, groupes djihadiste dans le commerce trans-saharien)...";Je ne souhaite pas répondre;30 à 39 ans;Cadres et professions intellectuelles supérieures
"Le dispositif actuel nuit: 

- Aux forces de l'ordre qui passent leur temps à jouer au chat et à la souris avec les dealers sans que ça ne change rien au problème tout en amplifiant la violence et la méfiance vis à vis des autorités publiques. 
- Aux  quartiers dont les habitants sont victimes collatérales des trafiquants et de la répression policière 
- Comme dit plus haut aux consommateurs et dealers à la petite semaine. 
La France est le pays le plus répressif en Europe sur le cannabis mais il est aussi le pays avec le plus de consommateurs. Or tout comme l'alcool ou la cigarette, le cannabis devrait être un problème de santé publique et non de justice. Réduire le nombre d'emprisonnés, créer de l'emploi agricole et tertiaire, garantir la qualité du produit et son contrôle. Il s'agit de légiférer et de reprendre la main sur le sujet pour limiter les dommages collatéraux et dans l'intérêt de tous";Un homme;18 à 29 ans;Employés
"Si le dispositif actuel donnait satisfaction, je pense que cette étude n'aurait même pas lieu d'être.
Il est évident que la réponse est Non. Ce n'est pas en faisant des descentesde police avec les caméras de la TNT derrière dans une cité de 93 que le traffic sera controlé. Tout le monde sait que lorsqu'un point de vente dans un immeuble est bouclé à grand renfort de communication, d'autres s'ouvrent juste à côté. Au grand bonheur des riverains d'ailleurs, qui ne peuvent que subir cette situation dont le principale responsable est l'état.
De la police aussi, qui aurait certainement mieux à faire que ça. Je ne suis pas sur que les policiers sur le terrain aiment passer leur temps à écoper un bateau qui prend l'eau de manière inéluctable.
 Tant que l'état ne proposera pas un commerce étatisé, qui vendra un produit de bonne qualité, imposé mais à un prix raisonnable. Le traffic a de beaux jours devant lui.";Un homme;30 à 39 ans;Employés
"Le dispositif actuel ne permet absolument pas de lutter contre les trafics.  Les lieux de trafics que je connais restent inchangés depuis une quinzaine d'année que je fume du cannabis. Les dealeurs peuvent changer (quel est la contribution de la police pour arreter ces dealeurs?) mais le trafic reste. Très souvent ce sont les acheteurs qui sont arrêtés au sortir d'un lieu de trafic et non les vendeurs. La lutte coute mais ne rapporte pas. Pour chaque ""saisie extraordinaire"" relayée dans les médias, combien de ces même quantité de drogues ne sont pas trouvées? Le phénomène est statistique, la lutte contre les trafics ne fait au final quéchantillonner ceux-ci mais ne le diminue dans aucun cas. Seul le confinement de mars a peut etre eu un effet dernièrement, mais celui-ci n'est pas du à une meilleure lutte contre les trafics. Je ne pense pas qu'un tel confinement  soit la meilleure manière de lutter contre le trafic de cannabis !";Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
"Seul le marché noir répond actuellement à la grande demande pour les produits. Cela entraine des violences liées au trafic, une insécurité quotidienne pour les habitants des quartiers où ont lieu la vente. 
Le marché noir de par sa nature ne donne aucune information concernant l'origine, les conditions de fabrication ou la qualité intrinsèque et/ou sanitaire des produits vendus. 

Où fini vraiment l'argent? Pas dans des politiques de répression, d'éducation ou de prévention. 
Aucune taxation, régulation ou encadrement des prix, aucun bénéfice, ni pour les finances publiques, ni pour le consommateur.

La Police et la Justice restent engluées dans une répression chronophage et au résultat bien trop souvent inefficace considérant la situation actuelle. 
Les consommateurs matures et responsables quant à eux subissent, en plus du marché noir, les mêmes sanctions légales que les irresponsables, s'ils ont la malchance d'être pris. 

Les seuls vrai gagnants de la prohibition sont les réseaux criminels de toute taille qui prospèrent grâce à l'interdit.";Un homme;40 à 49 ans;Employés
"Je vais paraphraser ma première réponse : ""Il est invraisemblable de continué à tenir ce capte pour la santé de nos concitoyens, de nos forces de lordre, qui n'a que faculté a engraisser des réseaux  mafieux bien rodés et qui profites clairement de la situation.""
En effet comme n'importe quel produit illicite et ""interdit"" il en découle une forte demande ( particulièrement le cannabis, extrêmement implanté dans notre société, qu'on le veuille ou non) et donc par définition une forte offre.  
il suffit de vivre dans un milieu social moyen pour voir/avoir vu ne serait ce que la partie visible de l'iceberg (traffic) qui est impressionnant... 
Le dispositif actuel malheureusement n'a aucun effet sur ce trafic et met en danger les utilisateurs, les citoyens et nos forces de polices. Sans oublié le système pénitencier en surcharge et évidemment les personnes en charges des applications pénales qui ont je pense en charge de travail et d'importance bien mieux a faire.";Un homme;30 à 39 ans;Artisans, commerçants et chefs d'entreprises
Les forces de lordre sont souvent mal renseignées, se préoccupe trop de certaine chose pensant être des génies et être sur la bonne voie alors que cest complètement faux et souvent linverse, les « trafiquants » ne sont pas fou, létat cherche trop la petite bête la ou il ny en a pas, surtout que le business du cannabis nest pas si grave que ça, étant donné que le cannabis nest clairement pas aussi mauvais quon le fait penser, sinon vous ne retrouveriez pas autant de personnes pour en consommer. Je suis moi même une consommatrice de cannabis (jai la vingtaine), létat et lenvironnement qui mentoure me met un stresse énormément, et pour ma part, les médicaments (y compris les plus naturels à base de plantes) nont aucun effet sur moi, alors que le tabac et le cannabis (pour le peu que je le consomme) maide beaucoup pour le stresse, les douleurs héréditaires que jai au dos et autres;Une femme;18 à 29 ans;Employés
Beaucoup de pays le légalise, avec plus ou moins de conditions. En France, non, on punis les fumeurs, sans leurs expliquer le pourquoi  du comment juste « cest pas bien » , «  cest dangereux » mais au final pas plus que tous les médicaments quon a sur le marché, avec ordonnances ou non. Beaucoup de consommateur sont des personnes qui malheureusement en on besoin du à leur train de vie mis sous tension ,  cest aussi beaucoup moins violant que des anti dépresseur ( tout le monde ne tolère pas les médicaments, et même si nous sommes tous constituer de la même façon, nous navons pas tous les mêmes réactions aux médicaments que lon nous prescrits).  Les lois françaises à ce jours son malheureusement trop vieille pour lépoque dans laquelle nous vivons. Elles pousses certains à la contourner mais sils le font cest pour leur bien ce nest pas en mal contre la société ou le gouvernement.;Une femme;18 à 29 ans;Artisans, commerçants et chefs d'entreprises
"La qualité du canabis n'est ni certifiée ni contrôlée.
La prévention pour un usage raisonné est impossible à faire comme pour l'alcool puisque le produit est hors la loi.
l'État ne touche pas un centime sur les ventes qui viennent renforcer les finances des petites mafia.
Ces même mafia mettent en danger les riverains dans leur querelles de territoire pour monopoliser cet argent facile.
Les forces de l'ordre gaspillent temps et moyens au dépend de luttes plus importantes (drogues dures, trafics d'êtres humains, terrorisme...)
Enfin, la situation rappelle un peu celle de la prohibition au USA lorsque l'Etat interdisait et que tout le monde consommait quand même un alcool souvent frelaté mais considéré comme récréatif et pour cela vendu sous le manteau.
Un cannabis certifié en qualité et avec une teneur en thc annoncée et contrôlée dont les revenus iraient dans les caisses de la France et dont le prix plus que compétitifs casseraient le monopole des trafiquants.";Un homme;40 à 49 ans;Employés
Échec également de la lutte contre les trafics puisque la demande est toujours présente. Les consommateurs savent qu'il y aura toujours quelqu'un pour vendre, et les vendeurs quelqun pour acheter. Nos prisons débordent, les tribunaux débordent, car aujourd'hui un revendeur de barettes passe plus de temps en cellule qu'un prédateur sexuel. Les guetteurs et revendeurs sont des enfants qui ne ddépassent pas les 15 ans et qui sont confrontés à des situations violentes, malsaines, et stoppés dans leur développement par la tentation de l'argent facile sans savoir que cela leur fera du mal au long terme. Une dépénalisation voire légalisation c'est la meilleure arme contre le marché parallèle car les clients préféreront auto produire ou acheter dans un lieu réglementé plutôt que d'aller dans des endroits qu'ils ne connaissent pas, avec les risques que ces zones comprennent. Il faut également savoir que dans les grandes villes le trafic s'uberise, avec des livreurs à domicile et un marketing travaillé.;Un homme;18 à 29 ans;Employés
"Prohibition et répression ne fonctionnent pas, de plus e n plus de consommatrices.teurs. Cela provoque d'avantage un manque de prévention, d'information (risques,...), une attirance juvénile pour un produit proscrit et une perte de controle (et de taxes) sur le trafic (sur la dangerosité des produits et sur les bénéfices occasionnés)
De plus, cette ""drogue"" est bien moins dangereuse que l'alcool (dont la banalité de son usage est presque effrayante) ou que certains """"médicaments"""" pour ne citer que cela. Elle a des vertus positives/curatives balayées d'un revers de main par cette définition de ""drogue"".
Pour finir, me sentir criminalisé en tant que consommateur (au même titre que des violeurs ou des héroïnomanes) pour une addiction (moins grave que l'acool) de laquelle je suis davantage victime que coupable m'est assez douloureux.
Je préciserais juste que l'utilisation immense de marijuana actuellement est peut etre un reflet de problemes sociaux (perte de sens à la société réelle) plutot qu'un probleme en elle-meme";Un homme;18 à 29 ans;Employés
"Les peines encourues en tant que ""fournisseur"" de ces produits, quel que soit sa place dans la hiérarchie de la chaine d'approvisionnement - de la tête de réseau au simple guetteur - ne sont pas dissuasives face à l'appât du gain rapide et d'autant plus facile que la demande ne faiblit pas. En somme la balance bénéfice/risque n'est pas décourageante que ce soit pour sa consommation ou son achat/vente.
D'une manière générale le ""dispositif actuel de répression de la consommation de cannabis"" pourrait se voir appliquer l'adage suivant : à continuer de procéder de la sorte, on n'obtiendra aucun autre résultat que ceux déjà obtenus. 
Même une intensification de la répression, qu'elle soit d'ordre pécunier (amendes) ou de privation totale ou partielle de libertés (prison, contrôle judiciaire renforcé, bracelet électronique, etc,...) n'apporterait pas de résultats probants. Eu égard aux chiffres diffués, cela reviendrait à incarcérer des dizaines de milliers de personnes pour stopper net tout trafic. C'est illusoire.";Un homme;40 à 49 ans;Cadres et professions intellectuelles supérieures
Il est temps que le gouvernement comprenne que la répression nagit pas et quune approche plus compréhensive et ouverte doit être prise afin de mieux gérer les problèmes liés au cannabis. Interdire et pénaliser la consommation ne permet que (i) dinciter les plus jeunes, qui aiment lidée de  « briser linterdit », à consommer, (ii) de dépenser inutilement largent du contribuable et le temps précieux de la police à traquer les petits deals et (iii) enrichir les réseaux mafieux qui sont maîtres dans lart du marché noir. Reconnaître et autoriser la consommation permettrait (i) de sassurer de la qualité du cannabis consommé (un rapport précédent de D. Vaillant indiquait que le haschich et le cannabis étaient régulièrement coupés avec des matières telles du sable ou du caoutchouc) (ii) enrichir létat tout en dissuadant la consommation via un système efficace dimposition et (iii) accompagner la prévention et le suivi des consommateurs, en utilisant les fonds des impôts nommés précédemment.;Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
là aussi il est urgent de légiférer, personnellement j'habite dans les quartiers nord de Marseille où fumer du cannabis est un HABITUS, et où chaque quartier ou cité contient plusieurs points de vente qui ont pignon sur rue aussi bien que de compte snapchat qui leur sert de promotion. Il faut reconnaïtre à ces traficants des qualités en matière de marketing 2.0... Souvent ils se trouvent entre la pharmacie et la bar tabac (à la Castellane, Font vert, Les Rosiers...), dire qu'il suffit de leur attribuer un Kbis pour vider d'un seul coup le commissariat, le tribunal et la morgue...! Dans les pays civilisés on a légalisé pour que les différends se règlent devant les prud'hommes ou le tribunal de commerce plutôt qu'à la kalachnikov. Faut faire vite maintenant les réseaux proposent cocaïne, MDMA, protoxyde d'azote etc etc... vous êtes responsables (tous les députés qui se sont succédés) de cette situation, elle est le fruit de votre politique.;;;
"leur empêchera d'avoir un emploi qualifié même si, à la base, ils avaient des capacités. Leur faire comprendre qu'ils enrichissent des trafiquants qui leur font miroiter argent et belle vie, alors qu'ils ne sont que ""des tueurs"" qui profitent de leur mal être, leur naïveté, et qu'ils se font berner. Pourquoi n'y aurait-il pas un cour sur ce sujet où les parents seraient invités, ce qui permettrait de faire un bloc parents/école, amènerait plus de dialogue dans les familles et aiderait certains parents à réfléchir sur leur propre comportement, à mes yeux ce serait bénéfique pour tous. Plus jamais çà : il y a une vingtaine d'années j'ai tél à un n° SOS DROGUE pour avoir des conseils, renseignements, on m'a répondu : il ou elle n'en est qu'au cannabis, ce n'est pas grave ! cette réponse je ne pourrai jamais l'oublier, ""la digérer"". Il y aussi un manque de message sans langue de bois à la télévision.";Une femme;65 à 74 ans;Retraités
"Pour qu'un trafic soit illégale, il faut que la vente et/ou la production du ou des produits de ce trafics soit interdit par la loi.
Donc, ce qui créer les trafics de cannabis, c'est le dispotif d'illégalité actuel de ce produit. Et si un dispositif créer les trafics, on ne peut à aucun moment dire qu'il lutte contre.
Ce qui me semblerait être le meilleur moyens de lutter efficacement contre les trafics, ce serait de légaliser la production, la consommation du cannabis et de créer un marché comme celui de l'alcool ou du tabac.
Ce qui permettrait, avec l'argent économisé par l'abandon du système répressif actuelle et celui rapporté par les taxes, de pouvoir subventionner les producteurs pour leur permettre de vendre à des prix qui leur permettrait de concurencer le traffic illégal jusqu'à la disparition de celui-ci, et de pouvoir financer la prévention/réduction des risques dans le but d'éviter une explosion de la consommation de cannabis.";Un homme;18 à 29 ans;Autres personnes sans activité professionnelle
"La répression cible bien plus aisément les consommateurs, démanteler un trafic est en soi un travail denquête et dinvestigations, ce nest que très rarement que les interpellations mènent directement à un arrêt du trafic durable. 
Au contraire elle renforce le statut de trafiquant, le commerce nen est que maximisé car aucune alternative pour le consommateur (le CBD étant un produit bien différent du cannabis récréatif tel quil existe actuellement).
La demande est forte et loffre sera toujours proportionnelle,même si il est très risqué de vendre du canna bis cest pour dire à quel point le bénéfice est énorme. 
Dernier point il est important de souligner que la répression du cannabis prends beaucoup de temps et dargent alors que la cocaine est elle aussi très consommée en France (plus que ce qui peut être médiatisé dailleurs). Les plus gros trafiquants étant plutôt destinés à la vente de drogues dures car bien plus lucrative par rapport aux risques encourus.";Un homme;18 à 29 ans;Employés
Le premier objet du trafic de stupéfiants est l'argent. Cette économie est choisie par ceux qui ne peuvent pas accéder à l'économie légale. Une réelle politique d'intégration et non d'assimilation devrait donner le droit aux personnes de choisir d'entrer dans un monde du travail légal. A ce jour, le trafic de stupéfiant permet à des personnes exclues de l'insertion professionnelle de subsister. Une façon efficace de tarir la main duvre des réseaux de trafic de stupéfiants est de permettre aux classes populaires d'accéder à des emplois pérennes et rémunérateurs. En parallèle, l'éducation doit apprendre à réfléchir à notre modèle économique actuel. La société de consommation par ses publicités, ses programmes télé, ses films... expliquent aux jeunes gens que la valeur principale est l'argent. Quel jeune de 20 ans peut prétendre gagner pas moins de 2000 par mois s'il n'est dans le trafic. Il est important de parler d'argent dans l'éducation des jeunes et d'y donner du sens.;Je ne souhaite pas répondre;40 à 49 ans;Employés
"Nous ne faisons malheureusement aucun réel distinguo entre drogues dures et drogues douces, dont l'alcool devrait lui aussi faire partie. Les citoyens sont donc confrontés à une réelle incohérence, toute culturelle, qui se dévoile même au niveau européen et mondial. Nous criminalisons toute une partie de notre société pour de simples raisons idéologiques qui ne suivent aucune véritable logique. Alors que nous devrions concentrer nos efforts sur la lutte contre les substances réellement toxiques (et nouvelles) qui circulent sous le manteau jusque dans les plus hautes sphères de notre société. En clair, votre parent, fumeur de cannabis de longue date, sans que vous le sachiez, se voit obligé de s'aventurer, avec la peur au ventre du ""flicage"", dans les quartiers défavorisés, là où se vendent, à prix d'or, crack, cocaïne, héroïne et autres, pour aller chercher un remontant différent de cet alcool, artificiel et bien plus toxique, qui fait la richesse de nos terroirs depuis des siècles.";Un homme;40 à 49 ans;Autres personnes sans activité professionnelle
"Je n'avais pas vu la question avant de répondre à la précédente. Mais je suis bien conscient que l'on peut se gargariser de saisies record, elles ne sont qu'un faible pourcentage du volume du trafic réel qui fonctionne très bien, organisé par des multinationales dont le budget est supérieur à celui de bien des états européens ou dans le monde. Je reçois aussi des jeunes, mais pas que, qui ont utilisé le contenu d'un paquet reçu par Internet ou acheté au coin de la rue. Qu'est-ce qu'il y avait, dans le paquet? 
Je n'ai pas lu le rapport en entier. C'est le résultat d'un travail énorme, que je salue. Est-ce qu'il fait la relation avec la prohibition qui a eu lieu aux Etats-Unis? Il n'y a jamais eu autant d'alcool de mauvaise qualité qui a circulé dans le pays. Mais St Pierre et Miquelon et Cuba ont très bien vécu cette période, les affaires marchaient très bien!";Un homme;75 ans et plus;Retraités
"Voir réponse plus haut : présence de lieux de deals ouverts en continu dans 93, pendant plus de 5 ans, exactement au même endroit (même immeuble, même poste pour les guetteurs). La répression oblige les policiers à arrêter des consommateurs ou des ""petits"" dealeurs au lieu de se concentrer sur des faits plus graves (violence, vols, etc) alors même qu'il y a des problèmes d'effectifs et de moyens dans la police (idem pour la justice et la prison). Faire sauter la répression pour ces délits mineurs permettraient aux policiers de se libérer du temps pour des faits plus graves. Par ailleurs, si les consommateurs actuels pouvaient faire pousser quelques plans de cannabis chez eux (comme en Espagne ou Portugal je crois) cela permettrait de limiter la demande auprès des traficants et donc de faire baisser les trafics illégaux (tout en permettant une consommation d'un produit de meilleure qualité, avec sans doute des conséquences positives pour la santé).";Je ne souhaite pas répondre;30 à 39 ans;Cadres et professions intellectuelles supérieures
"C'est de l'argent facile, à partir du moment ou de l'argent facile peut-être dans les mains de trafiquants celui ci leurs donne de l'ampleur et des moyen ce qui leur permet de s'armer et ainsi elles sont prêtes à tous pour garder leur trafic voir s'agrandir et créer de plus gros conflits.
Pourquoi doivent elles s'armer ? car c'est illégal et qu'ils sont seul pour protéger leurs or vert, donc autant s'auto défendre si personne ne le fera pour vous. Pour y couper court des boutique et moyen légaux encadrerais et sécuriserais les quartier des grandes agglomération, car si c'est légal et qu'ils se font volé leur marchandise légal ce n'est plus la même chose. Ainsi l'état pourrais y gagner plus de financement pour la police ainsi que la formation de ces agents. Enfin le nombre de policier retiré des affaires sur le cannabis pourrais être attribuer autre part ainsi augmenté la sécurité là ou c'est nécessaire.";Un homme;18 à 29 ans;Employés
"La est le noeud du problème. De toute évidence c'est un échec considérable. Toutes les lois de prohibitions tentées sur des produits à consommation massive ont été vouées à l'échec. La prohibition de l'alcool aux Etats-Unis au siècle dernier en a bien montré les limites. Si le produit a l'adhésion des citoyens nul de moyen de bloquer la demande.
Si la production et la distribution ne sont pas réglementées nul doute qu'un réseau alternatif ira se servir de cette manne pour financer ses activités terrorisme/crime organisé / ou petite production locale, se retrouvent sur le même pallier. Il est stupide de perdurer dans un combat digne de don quichotte.

L'interdit n'est pas une réponse rationnelle. Il n'a rien de libéral et encore moins d'humaniste. Il est juste une manifestation de pouvoir dans ce qu'il a de plus aveugle.

La légalisation couperait l'herbe sous le pied des organisations criminelles. Permettrait un rebond d'emploi dans un nouveau secteur agricole.";Un homme;40 à 49 ans;Cadres et professions intellectuelles supérieures
"Étant interdit les gens vont se le procurer auprès de dealeurs, faisant forcément de ce produit une prise de risque et par conséquent un produit cher. Ceci rend ce commerce juteux pour certains et fait que même lorsque quelques-uns sont arrêtés d'autres prennent le relais. Ce n'est que l'ouverture à un nouvel opportuniste. Aujourd'hui, la personne qui fume est verbalisée ce que je trouve insensé.  Verbalise t'on les fumeurs de tabacs? Les clients d'alcool ? Etc... Qu'est ce qui justifie la verbalisation de ""l'herbe"" ? L'alcool, le tabac et certains médicaments ne sont ils pas eux aussi ""des drogues"" ? Il existe d'ailleurs d'autres façon de consommer du cannabis que par la cigarette le rendant moins répréhensible pour la santé que le tabac et l'alcool et même bénéfique pour notre santé ! 
Encadrer la consommation de cannabis permettrait d'éloigner et d'accompagner les personnes à risques mais serait même utile pour les personnes que cette plante pourrait aider.";Une femme;18 à 29 ans;Artisans, commerçants et chefs d'entreprises
"J'ai déjà partiellement répondu à la question précédente. 
Il suffit de regarder les chiffres de consommation (surtout à l'aune des moyens financiers mis sur la table) pour voir que c'est un échec. D'autant que ce trafic enrichit les réseaux mafieux pouvant réinvestir dans le trafic de drogues dures.

Comment pouvez-vous lutter contre la consommation d'un produit consommé par prêt de 30% de la population et livré directement chez vous par des livreurs Uber Eat ? Surtout pour un produit considéré (notamment par les moins de 45 ans) comme un produit peu dangereux ? 
Combien de mort dû au cannabis (et non au trafic de cannabis) comparé à l'alcool ou au tabac ?
Sachant que bcp de jeunes se mettent à fumer du tabac via la consommation de cannabis. Si, comme en amerique du nord, la culture était de consommer l'herbe pure, il y aurait peu de mortalité dû au cannabis tout en baissant la consommation de tabac.";Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
La répression coûte énormément sans que cela n'empêche la consommation et le trafic de ce stupéfiant. Les produits vendus constituent un risque pour la santé publique, ils sont souvent coupés avec des substances douteuses. Au niveau mondial la tendance est à la légalisation des usages médicaux de cette plante. La France se prive d'une ressource utile pour certains patients. L'oms à récemment reconnu l'intérêt médical de cette plante. La légalisation entière où uniquement à usage médical aurait des retombées positives sur l'économie alors que nous vivons une crise sanitaire et économique. Plutôt que d'employer des millions d'euros dans la répression de l'usage de cette plante, il pourrait être judicieux de les employer à lutter contre l'addiction qui représente le vrai problème. L'addiction devrait être considérée comme une pathologie et remboursée par la sécurité sociale. Légaliser ou dépénaliser le cannabis permettrait également aux forces de l'ordre de se dégager du temps pour lutter contre d'autres crimes plus graves.;Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
La disponibilité du produit en France suit celle de la demande, bien qu interdit le produit arrive en France, est parfois produit en France. Créant une économie florissante ou de sombre trafiquant ou businessman font leur beurre sur le dos des consommateurs, au méprit de l'Etat et ses différentes forme d'imposition et des normes (force du produit avec taux de principe actif, utilisation de produit phytosanitaire pour la production surement plus néfaste pour la santé que le produit en lui même,  sans parler des produits de coupe visant a alourdir le produit et qui sont en générale eux aussi toxique). De plus ce mode de répression met en relation des consommateurs citoyen lambda au contact de groupe mafieux avec des méthodes commerciale hors de tout contrôle, proposant souvent d autre drogue pouvant avoir de grave conséquence sur le plan sanitaire, sans parler du trafic d armes en parallèle et le financement de groupuscule terroriste ou autre.;Je ne souhaite pas répondre;40 à 49 ans;Employés
Le dispositif actuel ne permet pas de cerner cette problématique. Il vous marque soit d'une tache blanche, c'est a dire que vous ne fumez pas, et vous n'en vendez pas, soit d'une marque noire qui fait de vous un hors la loi si vous fumez, ou vendez (ce qui n'est absolument pas la même chose). Ce qui serait bien de comprendre à un moment donné c'est le fait que les consommateurs de cannabis ne sont pas nécessairement des délinquants, qui alimentent les réseaux de la mafia. Je suis capable de comprendre le fait que les trafics de drogues sont néfastes, et engendrent des dangers de sécurité parfois, mais faut il mettre tout le monde dans le même sac ? A titre personnel, je consomme régulièrement du cannabis, que j'ai produit moi même, je n'alimente aucun réseau, je n'en vend pas, et je n'ai aucun problème dans ma vie (situation professionnelle, couple etc...), pourquoi me pénaliser ?;Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
"Tant que cela ne sera pas legalisé, les traffics existeront. Il y a-t-il du traffic de Shamppoings? Il y a-t-il du traffic de yaourts? Non parce qu'on en trouve dans tous les magasins. Donc si on trouve du cannabis dans des dispensaires, dont le prix et la qualité sont controlés, quel serait mon interet de m'approvisionner dans la rue? Aucun. Je prefere payer meme un peu plus cher, maisau moins je sais ce que je fume. 
Pourquoi ne pas autoriser les fumeurs a pouvoir planter 1 ou 2 pieds de cannabis chez eux? J'ai 2 pieds, ca me suffit pour ma conso personnelle, je n'alimente pas les traffics, je sais ce que je fume et j'embete personne. 
Lorsqu'un fumeur n'a aucune autre option que de s'approvisionner dans la rue, pensez vous que cette question est pertinente? Non, donc tant que la politique francaise persistera dans cette volonte d'interdiction, rien ne pourra changer, le traffic existera toujours.";Un homme;18 à 29 ans;Employés
